folder name,com vessels,com network,time,alpha,delay,pressure_drop,tau_c_f,tau_c_s,kp_constant_f,kp_constant_s,pt_50,pt_5,kn_constant_f,c_50,c_5,Number of iterations,delay pressure drop,time for pressure drop,R,k,final Q,final c
035,True,True,600.0,0.4,0.0,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,225001,15.0,15.0,1.0,0.1,0.00035075108255604447,9.96503973243134
040,True,True,600.0,0.4,0.4,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,225001,15.0,15.0,1.0,0.1,0.00035075108255604447,9.96503973243134
041,True,True,600.0,0.4,0.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,225001,15.0,15.0,1.0,0.1,0.00035075108255604447,9.96503973243134
036,True,True,600.0,0.4,1.0,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,225001,15.0,15.0,1.0,0.1,0.00035075108255604447,9.96503973243134
300s_kn_1_150,True,True,300.0,0.3,1.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/150,1.0,0.1,0.006666666666666667,1.1,0.06,130001,15.0,15.0,1.0,0.1,0.6873734056047954,1.2700455303321398
037,True,True,600.0,0.4,2.0,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,225001,15.0,15.0,1.0,0.1,0.00035075108255604447,9.96503973243134
043,True,True,600.0,0.34,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/10000000000000000303786028427003666890752,1.0,0.1,1e-40,1.1,0.06,225001,15.0,15.0,1.0,0.1,0.000220705948285044,9.977973121464519
017,True,True,600.0,0.3,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/1200,1.0,0.1,0.0008333333333333334,1.1,0.06,225001,15.0,15.0,1.0,0.1,0.0004562876858250282,9.954568424884936
007,True,True,600.0,0.4,2.5,0.5,0.0016666666666666668,1/600,0.0033333333333333327,1/150,0.5,0.1,0.006666666666666667,10.0,1.0,225001,15.0,15.0,1.0,0.1,0.6933502306874381,1.2604773544931949
006,True,True,600.0,0.4,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/150,0.5,0.1,0.006666666666666667,10.0,1.0,225001,15.0,15.0,1.0,0.1,0.6933502306874381,1.2604773544931949
004,True,True,600.0,0.4,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/150,0.8,0.1,0.006666666666666667,1.1,0.06,225001,15.0,15.0,1.0,0.1,0.6932548662055711,1.2606288894548103
005,True,True,600.0,0.4,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/150,0.8,0.1,0.006666666666666667,10.0,1.0,225001,15.0,15.0,1.0,0.1,0.6807753581234589,1.2807780817704408
093,True,True,50.0,0.3,2.5,0.5,0.0016666666666666668,1/600,0.0033333333333333327,1/2400,1.0,0.1,0.0004166666666666667,1.1,0.06,37500,5.0,5.0,1.0,0.1,0.4877864226315838,1.7012991468226195
012,True,True,600.0,0.3,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/300,1.0,0.1,0.0033333333333333327,1.1,0.06,225001,15.0,15.0,1.0,0.1,0.6863707752471061,1.2716648303841316
024,True,True,600.0,0.5,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,225001,15.0,15.0,1.0,0.1,9.382351521128624e-05,9.990624359922835
023,False,True,2400.0,0.5,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.012,900001,15.0,15.0,1.0,0.1,3.5059064135526036e-15,9.999999999999645
015,True,True,600.0,0.3,2.5,0.3,0.0016666666666666668,1/600,0.006666666666666667,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,225001,15.0,15.0,1.0,0.1,1.6544646914627324e-07,9.999983448024034
048,True,True,600.0,0.3,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,225001,15.0,15.0,1.0,0.2,0.6377779158051191,1.1936342721916322
070,True,True,600.0,0.3,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,0.8999999999999999,1.0,0.0016666666666666668,1.4000000000000001,-0.8,281251,15.0,15.0,1.0,0.1,0.4080261593167988,1.9683789510826568
013,True,True,600.0,0.3,2.5,0.3,0.0016666666666666668,1/600,0.0016666666666666668,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,225001,15.0,15.0,1.0,0.1,0.6750694227236118,1.2902071359393772
014,True,True,600.0,0.3,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,225001,15.0,15.0,0.5,0.1,0.00032185801352139983,4.983955173058496
022,True,True,1200.0,0.5,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.03,450001,15.0,15.0,1.0,0.1,3.117535036023061e-08,9.999996881772995
025,True,True,600.0,0.45,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,225001,15.0,15.0,1.0,0.1,0.00016449162426653314,9.983574202439394
071,True,True,600.0,0.3,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,0.8999999999999999,2.0,0.0016666666666666668,1.4000000000000001,-0.8,281251,15.0,15.0,1.0,0.1,0.32379245646488164,2.3595558478106766
049,True,True,600.0,0.3,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,225001,15.0,15.0,1.0,0.2,0.6377779158051191,1.1936342721916322
047,True,True,600.0,0.3,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,225001,15.0,15.0,1.0,0.05,0.6505547337711345,1.4274408589619234
053,True,True,600.0,0.3,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.02,0.11,0.0016666666666666668,1.44,0.4,225001,15.0,15.0,1.0,0.1,0.00037322470342976167,9.962808068043225
038,True,True,600.0,0.4,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,225001,15.0,15.0,1.0,0.1,0.00035075108255604447,9.96503973243134
031,True,True,600.0,0.34,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,225001,15.0,15.0,1.0,0.1,0.6154336460076022,1.3977549046749715
052,True,True,600.0,0.3,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.02,0.055,0.0016666666666666668,1.1,0.06,225001,15.0,15.0,1.0,0.1,0.00026652412327096367,9.97341253818374
055,True,True,600.0,0.3,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,0.83,0.075,0.0016666666666666668,0.76,0.135,281251,15.0,15.0,1.0,0.1,0.6951769056352638,1.2575817969839271
030,True,True,600.0,0.32,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,225001,15.0,15.0,1.0,0.1,0.6352734110319623,1.3600390922586936
001,True,True,400.0,0.3,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,10.0,1.0,190001,15.0,15.0,1.0,0.1,0.0048889038778319825,9.533797032798466
042,True,True,600.0,0.34,2.5,0.3,0.0016666666666666668,1/600,1e-40,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,225001,15.0,15.0,1.0,0.1,0.6946181763220429,1.258466053002442
073,True,True,600.0,0.2,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,2.0,0.0016666666666666668,1.4000000000000001,-0.8,281251,15.0,15.0,1.0,0.1,0.4921836350846723,1.6886585502679183
074,True,True,600.0,0.2,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,-2.0,0.0016666666666666668,1.4000000000000001,-0.8,281251,15.0,15.0,1.0,0.1,0.5166459347026774,1.6216714640144847
020,True,True,1200.0,0.3,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.12,450001,15.0,15.0,1.0,0.1,0.6768218186171584,1.2872965300439707
027,True,True,600.0,0.35,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,225001,15.0,15.0,1.0,0.1,0.5814190542456988,1.4675281178036048
018,True,True,1200.0,0.3,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,450001,15.0,15.0,2.0,0.1,0.682100519048359,2.5572161075126365
011,True,True,600.0,0.3,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,225001,15.0,15.0,2.0,0.1,0.6622751500376677,2.623725211211755
016,True,True,600.0,0.3,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,225001,15.0,15.0,1.0,0.1,0.6460993816515099,1.3403046188265024
029,True,True,600.0,0.55,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,225001,15.0,15.0,1.0,0.1,5.8347887111673585e-05,9.994167317618164
072,True,True,600.0,0.3,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.1,2.0,0.0016666666666666668,1.4000000000000001,-0.8,281251,15.0,15.0,1.0,0.1,0.03557457978012199,7.375083234108317
028,True,True,600.0,0.3,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,225001,15.0,15.0,1.0,0.1,0.6460993816515099,1.3403046188265024
010,True,True,600.0,0.3,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,225001,15.0,15.0,1.0,0.1,0.6460993816515099,1.3403046188265024
026,True,True,600.0,0.4,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,225001,15.0,15.0,1.0,0.1,0.00035075108255604447,9.96503973243134
019,True,True,1200.0,0.3,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,450001,15.0,15.0,1.0,0.1,0.6763466784060024,1.2880843831963449
021,True,True,600.0,0.5,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.12,225001,15.0,15.0,1.0,0.1,9.58929674348283e-05,9.990417760854982
003,True,True,400.0,0.3,2.5,0.5,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,190001,15.0,15.0,1.0,0.1,0.5987186767184854,1.4311925988635292
032,True,True,600.0,0.36,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,225001,15.0,15.0,1.0,0.1,0.001218502997501116,9.879590014352786
061,True,True,600.0,0.3,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,0.83,0.075,0.0016666666666666668,1.4000000000000001,-0.8,281251,15.0,15.0,1.0,0.1,0.6946542239241151,1.2584089717922684
092,True,True,50.0,0.3,2.5,0.5,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,37500,5.0,5.0,1.0,0.1,0.4877864226315838,1.7012991468226195
050,True,True,600.0,0.3,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.02,0.055,0.0016666666666666668,1.44,0.2,225001,15.0,15.0,1.0,0.1,0.00023068510470230616,9.976979476408431
034,True,True,600.0,0.4,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,225001,15.0,15.0,1.0,0.1,0.00035075108255604447,9.96503973243134
033,True,True,600.0,0.38,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,225001,15.0,15.0,1.0,0.1,0.0005497994554212747,9.945308564084801
002,True,True,400.0,0.3,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,0.5,0.1,0.0016666666666666668,10.0,1.0,190001,15.0,15.0,1.0,0.1,0.6953869582555021,1.2572496815168763
056,True,True,600.0,0.3,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,0.83,0.075,0.0016666666666666668,1.01,-0.105,281251,15.0,15.0,1.0,0.1,0.6872862041425867,1.2701860786846193
069,True,True,600.0,0.3,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,2.0,0.0016666666666666668,1.4000000000000001,-0.8,281251,15.0,15.0,1.0,0.1,0.0942485901422413,5.147234352547427
051,True,True,600.0,0.3,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.44,0.2,225001,15.0,15.0,1.0,0.1,0.0004520484827641162,9.95498861334694
058,True,True,600.0,0.3,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,0.83,0.075,0.0016666666666666668,1.01,-0.105,281251,15.0,15.0,1.0,0.1,0.6872862041425867,1.2701860786846193
060,True,True,600.0,0.3,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.4000000000000001,-0.8,281251,15.0,15.0,1.0,0.1,0.0004992362357615186,9.950313377420574
400s_kn_1_600,True,True,400.0,0.3,2.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,190001,15.0,15.0,1.0,0.1,0.5987186767184854,1.4311925988635292
600s no vess,False,True,600.0,0.3,2.99,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/150,Not printed,Not printed,0.006666666666666667,Not printed,Not printed,225001,15.0,15.0,1.0,0.1,0.04100614623530928,7.092242064002288
450s lap,True,True,450.0,0.5,2.99,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,180001,15.0,15.0,1.0,0.1,0.0005856378110187626,9.942071020807733
crash_01,True,True,450.0,0.5,2.99,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,180001,15.0,15.0,1.0,0.1,0.0005856378110187626,9.942071020807733
009,True,True,600.0,0.5,2.99,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,225001,15.0,15.0,1.0,0.1,0.00011015018243894749,9.988994670379912
normal values,True,True,600.0,0.5,2.99,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,0.5,0.1,0.0016666666666666668,10.0,1.0,225001,15.0,15.0,1.0,0.1,0.6910928735180198,1.2640740846328993
039,True,True,600.0,0.4,3.5,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,225001,15.0,15.0,1.0,0.1,0.00035075108255604447,9.96503973243134
044,True,True,600.0,0.34,4.0,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,225001,15.0,15.0,1.0,0.1,0.6154336460076022,1.3977549046749715
046,False,True,2400.0,0.34,5.0,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,900001,15.0,15.0,1.0,0.1,0.6714646334953883,1.2962357020988806
045,True,True,600.0,0.34,5.0,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,225001,15.0,15.0,1.0,0.1,0.6154336460076022,1.3977549046749715
083,True,True,1200.0,0.15,7.62,0.3,0.0016666666666666668,1/600,0.0016666666666666668,1/1200,1.0,1.6,0.0008333333333333334,1.2,3.0,450001,15.0,15.0,1.0,0.1,0.56251823405757,1.5093911245236913
084,False,True,2400.0,0.15,7.62,0.3,0.0016666666666666668,1/600,0.0016666666666666668,1/1200,1.0,1.6,0.0008333333333333334,1.2,3.0,900001,15.0,15.0,1.0,0.1,0.02733196114307784,7.853413872894456
082,True,True,1200.0,0.3,7.62,0.3,0.0016666666666666668,1/600,0.0016666666666666668,1/1200,1.2,1.6,0.0008333333333333334,1.6,3.0,450001,15.0,15.0,1.0,0.1,0.016066258041098812,8.61568761002454
080,True,True,1200.0,0.3,7.62,0.3,0.0016666666666666668,1/600,0.0016666666666666668,1/1200,1.0,1.6,0.0008333333333333334,1.2,3.0,450001,15.0,15.0,1.0,0.1,0.051789207804669016,6.586233969860323
081,True,True,1200.0,0.2,7.62,0.3,0.0016666666666666668,1/600,0.0016666666666666668,1/1200,1.0,2.0,0.0008333333333333334,1.7999999999999998,3.0,450001,15.0,15.0,1.0,0.1,0.4893915607844336,1.696661503386124
088,True,True,600.0,0.3,7.62,0.3,0.0016666666666666668,1/600,0.0016666666666666668,1/1200,1.0,0.1,0.0008333333333333334,1.1,0.06,225001,15.0,15.0,1.0,0.1,0.7078624500565476,1.2378344852270378
094,False,True,0.5,0.15,7.62,0.3,0.0016666666666666668,1/600,0.0016666666666666668,1/1200,1.0,1.6,0.0008333333333333334,1.2,3.0,100,15.0,15.0,1.0,0.1,0.9996114812018922,-7.364761454194471e+29
079,True,True,1200.0,0.2,7.62,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,2.0,0.0016666666666666668,2.0,5.0,450001,15.0,15.0,1.0,0.1,0.0066806474464035925,9.373717299097649
077,True,True,1200.0,0.2,7.62,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,2.0,0.0016666666666666668,1.6,4.0,450001,15.0,15.0,1.0,0.1,0.007276794578814881,9.321622967289985
085,True,True,20.0,0.3,7.62,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,1001,15.0,15.0,1.0,0.1,0.89966961228605,
076,True,True,1200.0,0.2,7.62,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,2.0,0.0016666666666666668,1.4000000000000001,-0.8,450001,15.0,15.0,1.0,0.1,0.005274509161092841,9.498928197740083
078,True,True,1200.0,0.2,7.62,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,2.0,0.0016666666666666668,1.6,2.0,450001,15.0,15.0,1.0,0.1,0.00743553000542595,9.307849718397453
065,True,True,600.0,0.3,7.62,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,0.5,0.1,0.0016666666666666668,1.4000000000000001,-0.8,281251,15.0,15.0,1.0,0.1,0.6953987808975682,1.2572309941015751
091,True,True,50.0,0.15,7.62,0.5,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,1.6,0.0016666666666666668,1.2,3.0,37500,5.0,5.0,1.0,0.1,0.4909448853766111,1.6922048829074463
062,True,True,600.0,0.3,7.62,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,0.83,0.075,0.0016666666666666668,1.4000000000000001,-0.8,281251,15.0,15.0,1.0,0.1,0.6946542239241151,1.2584089717922684
054,True,True,600.0,0.3,7.62,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,225001,15.0,15.0,1.0,0.1,0.6460993816515099,1.3403046188265024
063,True,True,600.0,0.3,7.62,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.4000000000000001,-0.8,281251,15.0,15.0,1.0,0.1,0.0004992362357615186,9.950313377420574
090,True,True,50.0,0.15,7.62,0.5,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,1.6,0.0016666666666666668,1.2,3.0,37500,5.0,5.0,1.0,0.1,0.5056022104750414,1.6512489423107042
064,True,True,600.0,0.3,7.62,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,8.0,0.05,0.0016666666666666668,1.4000000000000001,-0.8,281251,15.0,15.0,1.0,0.1,0.00019795155030285177,9.980239568101014
087,True,True,60.0,0.3,7.62,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,3001,15.0,15.0,1.0,0.1,0.39120780615919604,
075,True,True,1200.0,0.2,7.62,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,2.0,0.0016666666666666668,1.1,0.06,450001,15.0,15.0,1.0,0.1,0.02956633811097101,7.717931225723598
086,True,True,20.0,0.3,7.62,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.1,0.06,101,15.0,15.0,1.0,0.1,0.9033071978581556,
066,True,True,600.0,0.5,7.62,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.4000000000000001,-0.8,281251,15.0,15.0,1.0,0.1,7.274994086609976e-05,9.99272867896276
059,True,True,600.0,0.5,7.62,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,0.83,0.075,0.0016666666666666668,1.01,-0.105,281251,15.0,15.0,1.0,0.1,0.6748881026160247,1.290508837594257
057,True,True,600.0,0.3,7.62,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,0.83,0.075,0.0016666666666666668,1.01,-0.105,281251,15.0,15.0,1.0,0.1,0.6872862041425867,1.2701860786846193
068,True,True,600.0,0.3,7.62,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,2.0,0.0016666666666666668,1.4000000000000001,-0.8,281251,15.0,15.0,1.0,0.1,0.0942485901422413,5.147234352547427
067,True,True,600.0,0.8,7.62,0.3,0.0016666666666666668,1/600,0.0033333333333333327,1/600,1.0,0.1,0.0016666666666666668,1.4000000000000001,-0.8,281251,15.0,15.0,1.0,0.1,8.469205032146258e-06,9.999152962970543
